<<<<<<< HEAD
week,claims,trend.unemploy,trend.filling,trend.job
2010-01-03,651215,1.183973011,0.720140315,1.119669035
2010-01-10,825891,1.183973011,0.814895619,1.178598984
2010-01-17,659173,1.203382404,0.739091376,1.119669035
2010-01-24,507651,1.164563617,0.814895619,1.107883045
2010-01-31,538617,1.086926043,0.776993498,1.072525075
2010-02-07,512463,0.970469681,0.83384668,1.001809136
2010-02-14,482078,1.067516649,0.795944559,1.025381116
2010-02-21,458160,1.067516649,0.795944559,1.084311065
2010-02-28,474662,1.222791798,0.758042437,1.084311065
2010-03-07,462679,1.067516649,0.758042437,1.072525075
2010-03-14,439061,0.989879075,0.795944559,1.013595126
2010-03-21,413067,0.989879075,0.795944559,1.084311065
2010-03-28,412710,1.164563617,0.985455168,1.060739085
2010-04-04,421130,1.009288468,0.795944559,1.084311065
2010-04-11,514136,1.242201192,0.814895619,1.096097055
2010-04-18,436814,1.028697862,0.739091376,1.072525075
2010-04-25,429196,0.951060287,0.776993498,1.060739085
2010-05-02,399350,0.931650894,0.758042437,1.072525075
2010-05-09,414327,0.931650894,0.776993498,1.131455024
2010-05-16,414572,0.931650894,0.720140315,1.143241014
2010-05-23,410778,0.951060287,0.720140315,1.060739085
2010-05-30,418873,0.970469681,0.776993498,1.072525075
2010-06-06,398864,1.028697862,0.795944559,1.096097055
2010-06-13,448305,1.203382404,0.758042437,1.107883045
2010-06-20,427080,1.358657553,0.795944559,1.037167106
2010-06-27,444712,1.436295128,0.776993498,1.001809136
2010-07-04,470366,1.203382404,0.758042437,0.978237156
2010-07-11,515991,1.494523309,0.758042437,1.048953095
2010-07-18,502065,1.940939362,0.758042437,1.013595126
2010-07-25,413679,1.203382404,0.814895619,0.990023146
2010-08-01,402140,0.970469681,0.720140315,0.978237156
2010-08-08,425471,0.951060287,0.795944559,1.013595126
2010-08-15,405484,0.873422713,0.795944559,1.025381116
2010-08-22,384955,0.854013319,0.739091376,0.966451167
2010-08-29,383135,0.854013319,0.682238193,0.966451167
2010-09-05,381863,0.815194532,0.739091376,0.919307207
2010-09-12,341791,0.834603926,0.720140315,0.978237156
2010-09-19,382341,0.815194532,0.814895619,0.954665177
2010-09-26,372551,0.815194532,0.758042437,0.966451167
2010-10-03,373681,0.815194532,0.758042437,0.954665177
2010-10-10,462667,0.795785138,0.795944559,0.919307207
2010-10-17,394016,0.776375745,0.795944559,0.931093197
2010-10-24,408489,0.776375745,0.814895619,0.895735228
2010-10-31,421097,0.854013319,0.814895619,0.919307207
2010-11-07,452657,0.834603926,0.795944559,0.919307207
2010-11-14,409548,0.892832107,0.890699863,0.919307207
2010-11-21,464817,0.776375745,1.402378508,0.71894538
2010-11-28,412922,1.164563617,0.663287132,0.883949238
2010-12-05,585711,1.183973011,0.83384668,0.883949238
2010-12-12,491776,1.164563617,0.795944559,0.813233299
2010-12-19,495548,0.970469681,1.080210472,0.671801421
2010-12-26,525710,0.9122415,0.871748802,0.74251736
2011-01-02,578904,1.222791798,0.814895619,1.131455024
2011-01-09,773499,1.106335436,0.871748802,1.084311065
2011-01-16,549688,1.145154224,0.947553046,1.072525075
2011-01-23,485950,1.12574483,0.985455168,1.072525075
2011-01-30,464775,1.028697862,1.02335729,0.990023146
2011-02-06,440706,1.009288468,0.966504107,1.001809136
2011-02-13,424400,0.931650894,0.947553046,0.990023146
2011-02-20,380985,0.892832107,0.909650924,1.001809136
2011-02-27,353797,0.873422713,0.890699863,1.084311065
2011-03-06,407299,0.873422713,0.890699863,1.013595126
2011-03-13,371721,0.776375745,0.928601985,0.966451167
2011-03-20,354457,0.834603926,0.909650924,1.037167106
2011-03-27,357457,0.854013319,0.928601985,1.060739085
2011-04-03,353817,0.892832107,0.966504107,1.060739085
2011-04-10,448029,0.873422713,0.966504107,1.084311065
2011-04-17,381834,0.854013319,1.080210472,1.001809136
2011-04-24,387867,0.834603926,0.871748802,1.048953095
2011-05-01,415974,0.834603926,0.890699863,1.037167106
2011-05-08,397737,0.834603926,0.852797741,1.072525075
2011-05-15,361573,0.795785138,0.909650924,1.107883045
2011-05-22,376632,0.795785138,0.83384668,1.060739085
2011-05-29,381497,0.892832107,0.890699863,1.048953095
2011-06-05,366816,0.834603926,0.890699863,1.084311065
2011-06-12,400608,0.873422713,0.928601985,1.084311065
2011-06-19,394286,0.854013319,0.947553046,1.072525075
2011-06-26,406633,0.873422713,0.985455168,1.001809136
2011-07-03,425640,0.931650894,0.890699863,0.990023146
2011-07-10,473963,0.931650894,0.928601985,1.037167106
2011-07-17,470086,0.854013319,0.985455168,1.037167106
2011-07-24,369207,0.873422713,0.966504107,1.037167106
2011-07-31,341103,0.9122415,0.966504107,1.048953095
2011-08-07,354408,0.873422713,0.909650924,1.025381116
2011-08-14,346014,0.873422713,0.966504107,1.013595126
2011-08-21,344870,0.834603926,0.890699863,1.037167106
2011-08-28,336761,0.854013319,0.928601985,0.990023146
2011-09-04,348582,0.892832107,0.909650924,0.990023146
2011-09-11,328868,0.854013319,0.966504107,1.037167106
2011-09-18,353820,0.815194532,0.966504107,1.025381116
2011-09-25,328073,0.815194532,0.947553046,1.013595126
2011-10-02,332394,0.892832107,0.928601985,1.037167106
2011-10-09,405906,0.873422713,1.02335729,1.001809136
2011-10-16,357562,0.854013319,0.966504107,0.942879187
2011-10-23,377156,0.815194532,0.985455168,0.966451167
2011-10-30,369647,0.834603926,1.004406229,0.954665177
2011-11-06,402532,0.854013319,0.985455168,0.942879187
2011-11-13,363016,0.815194532,1.04230835,0.954665177
